序号,信号日,执行日,Risk Score,目标档位,原风险仓位%,新风险仓位%
1,2016-02-19,2016-02-22,61.97,M4,20.0,50.0
2,2016-02-26,2016-02-29,88.71,M6,50.0,20.0
3,2016-03-04,2016-03-07,75.77,M5,20.0,35.0
4,2016-03-18,2016-03-21,57.86,M3,35.0,65.0
5,2016-03-25,2016-03-28,48.25,M2,65.0,80.0
6,2016-04-22,2016-04-25,75.01,M5,80.0,35.0
7,2016-04-29,2016-05-03,64.37,M4,35.0,50.0
8,2016-05-06,2016-05-09,70.87,M5,50.0,35.0
9,2016-05-13,2016-05-16,86.11,M6,35.0,20.0
10,2016-05-20,2016-05-23,79.83,M5,20.0,35.0
11,2016-05-27,2016-05-30,68.87,M4,35.0,50.0
12,2016-06-03,2016-06-06,49.55,M2,50.0,80.0
13,2016-06-17,2016-06-20,54.99,M3,80.0,65.0
14,2016-06-24,2016-06-27,47.92,M2,65.0,80.0
15,2016-07-15,2016-07-18,31.67,M1,80.0,90.0
16,2016-07-29,2016-08-01,68.72,M4,90.0,50.0
17,2016-08-12,2016-08-15,58.69,M3,50.0,65.0
18,2016-08-19,2016-08-22,47.53,M2,65.0,80.0
19,2016-09-14,2016-09-19,63.76,M4,80.0,50.0
20,2016-09-23,2016-09-26,47.43,M2,50.0,80.0
21,2016-09-30,2016-10-10,61.4,M4,80.0,50.0
22,2016-10-14,2016-10-17,41.66,M2,50.0,80.0
23,2016-10-21,2016-10-24,27.33,M1,80.0,90.0
24,2016-12-02,2016-12-05,45.78,M2,90.0,80.0
25,2016-12-09,2016-12-12,50.05,M3,80.0,65.0
26,2016-12-16,2016-12-19,71.45,M5,65.0,35.0
27,2016-12-23,2016-12-26,67.41,M4,35.0,50.0
28,2017-01-06,2017-01-09,59.64,M3,50.0,65.0
29,2017-01-13,2017-01-16,60.91,M4,65.0,50.0
30,2017-01-20,2017-01-23,75.67,M5,50.0,35.0
31,2017-01-26,2017-02-03,61.76,M4,35.0,50.0
32,2017-02-10,2017-02-13,48.34,M2,50.0,80.0
33,2017-02-24,2017-02-27,26.43,M1,80.0,90.0
34,2017-03-10,2017-03-13,38.9,M2,90.0,80.0
35,2017-03-17,2017-03-20,30.56,M1,80.0,90.0
36,2017-03-24,2017-03-27,37.34,M2,90.0,80.0
37,2017-03-31,2017-04-05,59.96,M3,80.0,65.0
38,2017-04-14,2017-04-17,62.17,M4,65.0,50.0
39,2017-04-21,2017-04-24,73.78,M5,50.0,35.0
40,2017-05-05,2017-05-08,69.62,M4,35.0,50.0
41,2017-05-12,2017-05-15,76.57,M5,50.0,35.0
42,2017-05-19,2017-05-22,67.14,M4,35.0,50.0
43,2017-05-26,2017-05-31,77.26,M5,50.0,35.0
44,2017-06-09,2017-06-12,57.63,M3,35.0,65.0
45,2017-06-16,2017-06-19,65.67,M4,65.0,50.0
46,2017-06-23,2017-06-26,52.53,M3,50.0,65.0
47,2017-06-30,2017-07-03,40.14,M2,65.0,80.0
48,2017-07-14,2017-07-17,57.82,M3,80.0,65.0
49,2017-07-21,2017-07-24,70.32,M5,65.0,35.0
