baseline,metric,risk_minus_baseline_mean,ci_2_5,ci_97_5,repetitions,block_sessions,index_id,index_name,analysis,cost_bps,value,max_drawdown,calmar
Buy & Hold,Max Drawdown,-0.06512091708605056,-0.16156698894215496,0.05404333668097372,500.0,20.0,CSI300,沪深300,paired_moving_block_bootstrap,,,,
Constant Exposure - Train Fixed,Max Drawdown,0.07050738195105177,-0.021109693324269922,0.1778763108943504,500.0,20.0,CSI300,沪深300,paired_moving_block_bootstrap,,,,
MA200,Max Drawdown,-0.007898312406671661,-0.1376606524012023,0.11842357708870183,500.0,20.0,CSI300,沪深300,paired_moving_block_bootstrap,,,,
MA20/MA60,Max Drawdown,0.0012481387335144729,-0.1484928368231986,0.137200525585046,500.0,20.0,CSI300,沪深300,paired_moving_block_bootstrap,,,,
Volatility Targeting,Max Drawdown,-0.042943839981089735,-0.14542172282892565,0.05848163266262218,500.0,20.0,CSI300,沪深300,paired_moving_block_bootstrap,,,,
Buy & Hold,Calmar Ratio,-0.05557088969429866,-0.23020502468349777,0.03959327229618089,500.0,20.0,CSI300,沪深300,paired_moving_block_bootstrap,,,,
Constant Exposure - Train Fixed,Calmar Ratio,-0.06310859264553204,-0.2317746658350656,0.035899443024079325,500.0,20.0,CSI300,沪深300,paired_moving_block_bootstrap,,,,
MA200,Calmar Ratio,-0.024354948103733818,-0.20128056337020095,0.13662766883418037,500.0,20.0,CSI300,沪深300,paired_moving_block_bootstrap,,,,
MA20/MA60,Calmar Ratio,-0.00804591417662302,-0.20803731634727557,0.1926503256522953,500.0,20.0,CSI300,沪深300,paired_moving_block_bootstrap,,,,
Volatility Targeting,Calmar Ratio,-0.02310462018994091,-0.17004511993655907,0.08030197653446221,500.0,20.0,CSI300,沪深300,paired_moving_block_bootstrap,,,,
,CAGR,,,,,,CSI300,沪深300,cost_sensitivity,0.0,0.0020897843377423175,0.38296674418304544,0.005456829788707371
,CAGR,,,,,,CSI300,沪深300,cost_sensitivity,5.0,-0.0036353745827591988,0.39506579719739077,-0.009201947140321083
,CAGR,,,,,,CSI300,沪深300,cost_sensitivity,10.0,-0.00932894291376063,0.4069293778087131,-0.022925213618137746
,CAGR,,,,,,CSI300,沪深300,cost_sensitivity,20.0,-0.020622781794862988,0.42997008770689327,-0.047963294155758465
Buy & Hold,Max Drawdown,-0.15795711033531928,-0.28345879113818917,-0.027859375007673822,500.0,20.0,CSI1000,中证1000,paired_moving_block_bootstrap,,,,
Constant Exposure - Train Fixed,Max Drawdown,0.002324527216709609,-0.11906538634344407,0.12388558357305093,500.0,20.0,CSI1000,中证1000,paired_moving_block_bootstrap,,,,
MA200,Max Drawdown,-0.046033639967170685,-0.2060396175840685,0.11706163200303304,500.0,20.0,CSI1000,中证1000,paired_moving_block_bootstrap,,,,
