strategy,CAGR,Max Drawdown,Calmar Ratio,Sharpe Ratio,Annualized Volatility,Worst Year Return,Recovery Time,Recovery Status,Average Exposure,Exposure Changes,Turnover,Downside Capture,Down Months,index_id,index_name
Buy & Hold,0.01565496901835184,0.456026204848647,0.034329099626078836,0.18019628745414396,0.19401392613916857,-0.25309799665574684,,unrecovered,1.0,0,0.0,100.0,51.0,CSI300,沪深300
Constant Exposure - Train Fixed,0.0115265075838904,0.31034523573173867,0.03714092003607838,0.15842026079031316,0.12237511272100099,-0.1713696500096068,,unrecovered,0.627781312015586,8,5.3361246206052755,62.81181582365597,51.0,CSI300,沪深300
MA200,0.0048205424243461525,0.35776087456029515,0.013474202371264954,0.1082116021769534,0.14913861638442333,-0.11401142311763124,,unrecovered,0.6333464721350824,71,58.08124328371255,64.65116833769909,51.0,CSI300,沪深300
MA20/MA60,0.0011376940224339105,0.3828746509217963,0.0029714529799631188,0.0773267387060368,0.13678110439369384,-0.10562704212141827,,unrecovered,0.5880740176405717,47,39.13433616413387,58.118545148467014,51.0,CSI300,沪深300
Volatility Targeting,0.0029339010400122323,0.44783257797011145,0.0065513345485286294,0.09671370680136313,0.15355397816472324,-0.23014379510328475,,unrecovered,0.842721493951594,1307,35.524390105283004,89.25476865490612,51.0,CSI300,沪深300
Risk Score,-0.0036353745827591988,0.39506579719739077,-0.009201947140321083,0.034326848432883396,0.1279104694649462,-0.144562158386502,,unrecovered,0.6319386758094198,454,99.25459833304701,68.3489874685336,51.0,CSI300,沪深300
Buy & Hold,0.01064352730840823,0.46708477511174096,0.022787142453662663,0.16966453522535346,0.2503372115380847,-0.3687042769072183,996.0,recovered,1.0,0,0.0,100.0,52.0,CSI1000,中证1000
Constant Exposure - Train Fixed,0.009857474203595284,0.33212126589000657,0.029680346355357826,0.1433866880748811,0.15522558396349223,-0.2309560178421739,996.0,recovered,0.6171499049440384,8,6.764788798093125,63.039691897178116,52.0,CSI1000,中证1000
MA200,-0.006311216962540556,0.3731027083921843,-0.01691549490417144,0.055015354947854686,0.1808782184287191,-0.1806015343253069,,unrecovered,0.6139672174016807,68,56.12363922202209,55.411564761738454,52.0,CSI1000,中证1000
MA20/MA60,-0.0037995034115175796,0.4070833668385547,-0.009333477417721234,0.06522684459755809,0.1740933722552814,-0.15219805765611572,,unrecovered,0.5774342207363432,36,30.87467511339722,53.59875307047716,52.0,CSI1000,中证1000
Volatility Targeting,-0.04389204188336193,0.5092349412074733,-0.08619212534648005,-0.19020877315073786,0.16909634107827937,-0.368148091941199,,unrecovered,0.7121984840153197,1813,47.21640979042115,78.41696310194534,52.0,CSI1000,中证1000
Risk Score,0.016302786315331552,0.3421490587120115,0.04764819864389481,0.18494062605314848,0.1597749315571722,-0.2280360824261628,1270.0,recovered,0.6305873782750995,455,99.03580048873606,59.68408559498536,52.0,CSI1000,中证1000
Buy & Hold,0.04009976203379928,0.40697397569926497,0.09853151412175593,0.28752118700565704,0.26613387152842577,-0.33342492215540565,772.0,recovered,1.0,0,0.0,100.0,51.0,CSI2000,中证2000
Constant Exposure - Train Fixed,0.03795839816946156,0.2805261603214527,0.1353114380703936,0.32011111868928677,0.16195986106960383,-0.15162843633047218,702.0,recovered,0.5996540486689138,8,6.992981028151305,60.05235750589459,51.0,CSI2000,中证2000
MA200,-0.002219580552322853,0.4308953452862877,-0.005151089647645554,0.08641226192689319,0.1941590649121302,-0.22533052067937875,,unrecovered,0.66231454296038,72,59.26487458828795,61.25647410363319,51.0,CSI2000,中证2000
MA20/MA60,0.007006435943636591,0.39896782673184916,0.017561405893377204,0.13400585330519219,0.18867599625504441,-0.1513519950296346,,unrecovered,0.6010537423162776,44,37.224125165195844,54.898213527528505,51.0,CSI2000,中证2000
Volatility Targeting,-0.03376670706555551,0.45504063489601965,-0.0742059158590781,-0.12279093336735761,0.17069429591620444,-0.3415015475252221,,unrecovered,0.681375712236569,1861,47.75047099818388,78.96832231015738,51.0,CSI2000,中证2000
Risk Score,0.019637007864491185,0.27658494783411547,0.07099810751909996,0.2052988321323026,0.1647770901730143,-0.23938321149737374,609.0,recovered,0.6295982656529111,447,98.07700207154886,61.90606571781381,51.0,CSI2000,中证2000
