ts_code,trade_date,open,high,low,close,pre_close,pct_chg,vol,amount,index_id,index_name
000852.SH,2013-01-04,3427.267,3434.719,3358.297,3391.446,3406.804,-0.4508,55378826.16,49400878.419,CSI1000,中证1000
000852.SH,2013-01-07,3387.164,3441.691,3380.106,3441.691,3391.446,1.4815,56401236.71,49777722.342,CSI1000,中证1000
000852.SH,2013-01-08,3444.441,3501.479,3426.984,3492.858,3441.691,1.4867,69849821.39,62542161.099,CSI1000,中证1000
000852.SH,2013-01-09,3487.329,3526.018,3461.283,3497.93,3492.858,0.1452,73056367.65,63866089.335,CSI1000,中证1000
000852.SH,2013-01-10,3493.873,3530.581,3492.494,3524.245,3497.93,0.7523,64209319.09,55683105.986,CSI1000,中证1000
000852.SH,2013-01-11,3525.951,3534.48,3446.31,3454.624,3524.245,-1.9755,69427742.07,62802567.071,CSI1000,中证1000
000852.SH,2013-01-14,3449.481,3581.013,3449.032,3578.98,3454.624,3.5997,74044364.99,69256773.243,CSI1000,中证1000
000852.SH,2013-01-15,3583.841,3659.869,3583.695,3649.138,3578.98,1.9603,91420266.77,85229770.187,CSI1000,中证1000
000852.SH,2013-01-16,3643.418,3656.87,3580.837,3645.82,3649.138,-0.0909,82218812.78,75105729.509,CSI1000,中证1000
000852.SH,2013-01-17,3639.062,3646.797,3593.069,3602.849,3645.82,-1.1786,63930476.44,59918297.784,CSI1000,中证1000
000852.SH,2013-01-18,3605.092,3659.565,3594.817,3659.565,3602.849,1.5742,64001510.36,59260001.382,CSI1000,中证1000
000852.SH,2013-01-21,3663.772,3689.909,3645.508,3689.909,3659.565,0.8292,65795719.72,60844879.035,CSI1000,中证1000
000852.SH,2013-01-22,3685.267,3685.267,3590.161,3617.128,3689.909,-1.9724,64846818.85,60295253.609,CSI1000,中证1000
000852.SH,2013-01-23,3605.1,3630.768,3570.808,3630.037,3617.128,0.3569,58280833.37,52886270.799,CSI1000,中证1000
000852.SH,2013-01-24,3627.275,3657.676,3511.357,3540.217,3630.037,-2.4744,69589374.48,64024341.073,CSI1000,中证1000
000852.SH,2013-01-25,3532.517,3556.97,3517.32,3536.897,3540.217,-0.0938,42688426.96,39298451.508,CSI1000,中证1000
000852.SH,2013-01-28,3536.28,3629.363,3536.28,3629.363,3536.897,2.6143,49166785.94,46363943.171,CSI1000,中证1000
000852.SH,2013-01-29,3632.448,3671.29,3625.506,3663.641,3629.363,0.9445,57102915.29,52676947.526,CSI1000,中证1000
000852.SH,2013-01-30,3666.212,3672.063,3626.876,3661.028,3663.641,-0.0713,59215562.26,53957708.288,CSI1000,中证1000
000852.SH,2013-01-31,3655.879,3657.062,3617.577,3639.191,3661.028,-0.5965,53885824.05,49433682.502,CSI1000,中证1000
000852.SH,2013-02-01,3632.688,3664.876,3622.891,3659.46,3639.191,0.557,52516219.72,48502873.815,CSI1000,中证1000
000852.SH,2013-02-04,3664.589,3672.31,3610.206,3624.82,3659.46,-0.9466,56637102.33,52953970.865,CSI1000,中证1000
000852.SH,2013-02-05,3605.232,3657.509,3593.204,3657.509,3624.82,0.9018,47706728.65,43483364.266,CSI1000,中证1000
000852.SH,2013-02-06,3658.074,3691.808,3658.074,3681.308,3657.509,0.6507,42858438.26,40702644.28,CSI1000,中证1000
000852.SH,2013-02-07,3681.265,3706.565,3665.366,3700.572,3681.308,0.5233,40657425.77,39063615.589,CSI1000,中证1000
000852.SH,2013-02-08,3700.112,3763.399,3699.938,3755.544,3700.572,1.4855,42782208.87,42218155.271,CSI1000,中证1000
000852.SH,2013-02-18,3774.062,3801.894,3762.896,3797.69,3755.544,1.1222,54301735.01,52747802.33,CSI1000,中证1000
000852.SH,2013-02-19,3794.515,3799.161,3723.079,3737.653,3797.69,-1.5809,55775443.01,51807062.631,CSI1000,中证1000
000852.SH,2013-02-20,3734.219,3818.444,3733.196,3818.444,3737.653,2.1615,56063909.86,53686020.585,CSI1000,中证1000
000852.SH,2013-02-21,3797.964,3800.27,3717.773,3750.167,3818.444,-1.7881,63409196.14,60854591.759,CSI1000,中证1000
000852.SH,2013-02-22,3742.905,3784.226,3738.356,3744.1,3750.167,-0.1618,46120169.28,45062499.411,CSI1000,中证1000
000852.SH,2013-02-25,3752.496,3797.044,3751.257,3790.962,3744.1,1.2516,46447265.43,46487313.507,CSI1000,中证1000
000852.SH,2013-02-26,3775.203,3807.763,3740.232,3743.808,3790.962,-1.2439,55447268.78,56284326.705,CSI1000,中证1000
000852.SH,2013-02-27,3746.55,3775.548,3713.427,3745.413,3743.808,0.0429,47563604.85,48544514.023,CSI1000,中证1000
000852.SH,2013-02-28,3751.821,3815.719,3739.303,3815.719,3745.413,1.8771,55404248.5,55156127.143,CSI1000,中证1000
