index_id,index_name,event_id,event_type,event_date,window_start,window_end,strategy,local_max_drawdown,exposure_5d_before,exposure_at_start,minimum_exposure,exposure_at_end,target_changes_in_window,all_sample_five_day_flips
CSI300,沪深300,CSI300-rapid_crash-001,rapid_crash,2018-02-09,2018-02-09,2018-02-09,Buy & Hold,-0.0,1.0,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-rapid_crash-001,rapid_crash,2018-02-09,2018-02-09,2018-02-09,Constant Exposure - Train Fixed,-0.0,0.628139685725962,0.6256556448504453,0.6256556448504453,0.6256556448504453,0,0
CSI300,沪深300,CSI300-rapid_crash-001,rapid_crash,2018-02-09,2018-02-09,2018-02-09,MA200,-0.0,1.0,1.0,1.0,1.0,0,43
CSI300,沪深300,CSI300-rapid_crash-001,rapid_crash,2018-02-09,2018-02-09,2018-02-09,MA20/MA60,-0.0,1.0,1.0,1.0,1.0,0,6
CSI300,沪深300,CSI300-rapid_crash-001,rapid_crash,2018-02-09,2018-02-09,2018-02-09,Volatility Targeting,-0.0,0.9612391323676819,0.840894516077592,0.840894516077592,0.840894516077592,1,633
CSI300,沪深300,CSI300-rapid_crash-001,rapid_crash,2018-02-09,2018-02-09,2018-02-09,Risk Score,-0.0,0.44910161370418605,0.3965621703765499,0.3965621703765499,0.3965621703765499,0,249
CSI300,沪深300,CSI300-rapid_crash-002,rapid_crash,2020-02-03,2020-02-03,2020-02-03,Buy & Hold,-0.0,1.0,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-rapid_crash-002,rapid_crash,2020-02-03,2020-02-03,2020-02-03,Constant Exposure - Train Fixed,-0.0,0.6262430280228501,0.6304274904664507,0.6304274904664507,0.6304274904664507,0,0
CSI300,沪深300,CSI300-rapid_crash-002,rapid_crash,2020-02-03,2020-02-03,2020-02-03,MA200,-0.0,1.0,1.0,1.0,1.0,0,43
CSI300,沪深300,CSI300-rapid_crash-002,rapid_crash,2020-02-03,2020-02-03,2020-02-03,MA20/MA60,-0.0,1.0,1.0,1.0,1.0,0,6
CSI300,沪深300,CSI300-rapid_crash-002,rapid_crash,2020-02-03,2020-02-03,2020-02-03,Volatility Targeting,-0.0,1.0,0.8522293564638818,0.8522293564638818,0.8522293564638818,1,633
CSI300,沪深300,CSI300-rapid_crash-002,rapid_crash,2020-02-03,2020-02-03,2020-02-03,Risk Score,-0.0,0.8494015307394174,0.6530618566832754,0.6530618566832754,0.6530618566832754,1,249
CSI300,沪深300,CSI300-high_volatility-003,high_volatility,2018-11-02,2018-11-02,2018-11-02,Buy & Hold,-0.0,1.0,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-high_volatility-003,high_volatility,2018-11-02,2018-11-02,2018-11-02,Constant Exposure - Train Fixed,-0.0,0.6285121831467981,0.6312619014004782,0.6312619014004782,0.6312619014004782,0,0
CSI300,沪深300,CSI300-high_volatility-003,high_volatility,2018-11-02,2018-11-02,2018-11-02,MA200,-0.0,0.1996747524399828,0.20155071849041187,0.20155071849041187,0.20155071849041187,0,43
CSI300,沪深300,CSI300-high_volatility-003,high_volatility,2018-11-02,2018-11-02,2018-11-02,MA20/MA60,-0.0,0.1996747524399828,0.20155071849041187,0.20155071849041187,0.20155071849041187,0,6
CSI300,沪深300,CSI300-high_volatility-003,high_volatility,2018-11-02,2018-11-02,2018-11-02,Volatility Targeting,-0.0,0.4161619284614092,0.4155036897097587,0.4155036897097587,0.4155036897097587,1,633
CSI300,沪深300,CSI300-high_volatility-003,high_volatility,2018-11-02,2018-11-02,2018-11-02,Risk Score,-0.0,0.3592636037098861,0.40232212434367903,0.40232212434367903,0.40232212434367903,0,249
CSI300,沪深300,CSI300-high_volatility-004,high_volatility,2024-09-30,2024-09-30,2024-11-04,Buy & Hold,0.10993043343334219,1.0,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-high_volatility-004,high_volatility,2024-09-30,2024-09-30,2024-11-04,Constant Exposure - Train Fixed,0.06844748837223791,0.6199194525112302,0.6254108437176409,0.6026756206334807,0.617987445073072,0,0
CSI300,沪深300,CSI300-high_volatility-004,high_volatility,2024-09-30,2024-09-30,2024-11-04,MA200,0.10993043343494613,0.36258945904254536,1.0000001778714052,1.0,1.0,0,43
CSI300,沪深300,CSI300-high_volatility-004,high_volatility,2024-09-30,2024-09-30,2024-11-04,MA20/MA60,0.06085094388312584,0.20326747655500488,0.20705931982292355,0.19174716097843922,1.0,1,6
CSI300,沪深300,CSI300-high_volatility-004,high_volatility,2024-09-30,2024-09-30,2024-11-04,Volatility Targeting,0.03682175665206333,0.8310219572261236,0.5428776331096749,0.270846789407215,0.29861077869738467,21,633
CSI300,沪深300,CSI300-high_volatility-004,high_volatility,2024-09-30,2024-09-30,2024-11-04,Risk Score,0.10328579150595707,0.8027118314004629,1.0000000320193119,0.8471485262897699,0.8515235741149648,1,249
CSI300,沪深300,CSI300-bear_market-005,bear_market,2018-01-24,2018-01-24,2020-07-03,Buy & Hold,0.3246196888105487,1.0,1.0,1.0,1.0,0,0
