test_year,train_start,train_end,test_start,test_end,train_observations,fixed_exposure,index_id,index_name
2018,2015-01-01,2017-12-31,2018-01-01,2018-12-31,732,0.6290084448316895,CSI300,沪深300
2019,2016-01-01,2018-12-31,2019-01-01,2019-12-31,731,0.6095191868107352,CSI300,沪深300
2020,2017-01-01,2019-12-31,2020-01-01,2020-12-31,731,0.627332752771964,CSI300,沪深300
2021,2018-01-01,2020-12-31,2021-01-01,2021-12-31,730,0.6189333774932076,CSI300,沪深300
2022,2019-01-01,2021-12-31,2022-01-01,2022-12-31,730,0.6578813453027975,CSI300,沪深300
2023,2020-01-01,2022-12-31,2023-01-01,2023-12-31,728,0.5999160382886073,CSI300,沪深300
2024,2021-01-01,2023-12-31,2024-01-01,2024-12-31,727,0.6151506395602057,CSI300,沪深300
2025,2022-01-01,2024-12-31,2025-01-01,2025-12-31,726,0.6186665440812329,CSI300,沪深300
2026,2023-01-01,2025-12-31,2026-01-01,2026-09-01,727,0.6998706749311183,CSI300,沪深300
2018,2015-01-01,2017-12-31,2018-01-01,2018-12-31,732,0.5730155451675277,CSI1000,中证1000
2019,2016-01-01,2018-12-31,2019-01-01,2019-12-31,731,0.5489980957050551,CSI1000,中证1000
2020,2017-01-01,2019-12-31,2020-01-01,2020-12-31,731,0.6000120899767987,CSI1000,中证1000
2021,2018-01-01,2020-12-31,2021-01-01,2021-12-31,730,0.640343648252775,CSI1000,中证1000
2022,2019-01-01,2021-12-31,2022-01-01,2022-12-31,730,0.7037985318458999,CSI1000,中证1000
2023,2020-01-01,2022-12-31,2023-01-01,2023-12-31,728,0.6425390505140531,CSI1000,中证1000
2024,2021-01-01,2023-12-31,2024-01-01,2024-12-31,727,0.6326905182907157,CSI1000,中证1000
2025,2022-01-01,2024-12-31,2025-01-01,2025-12-31,726,0.5762587402063905,CSI1000,中证1000
2026,2023-01-01,2025-12-31,2026-01-01,2026-09-01,727,0.6496428830348651,CSI1000,中证1000
2018,2015-01-01,2017-12-31,2018-01-01,2018-12-31,732,0.4153640644983269,CSI2000,中证2000
2019,2016-01-01,2018-12-31,2019-01-01,2019-12-31,731,0.553992606790056,CSI2000,中证2000
2020,2017-01-01,2019-12-31,2020-01-01,2020-12-31,731,0.5937970598546088,CSI2000,中证2000
2021,2018-01-01,2020-12-31,2021-01-01,2021-12-31,730,0.6371117208727402,CSI2000,中证2000
2022,2019-01-01,2021-12-31,2022-01-01,2022-12-31,730,0.7000254432827471,CSI2000,中证2000
2023,2020-01-01,2022-12-31,2023-01-01,2023-12-31,728,0.6481857387935284,CSI2000,中证2000
2024,2021-01-01,2023-12-31,2024-01-01,2024-12-31,727,0.6406982433229312,CSI2000,中证2000
2025,2022-01-01,2024-12-31,2025-01-01,2025-12-31,726,0.578848831754399,CSI2000,中证2000
2026,2023-01-01,2025-12-31,2026-01-01,2026-09-01,727,0.6457156899233736,CSI2000,中证2000
